"","NMDS1","NMDS2","Key","PrePost","Date","Location","Site","Transect","Achilles.tang","Agile.chromis","Amber.jack","Arc.eye.hawk.fish","Barred.filefish","Belted.wrasse","Big.eye.emperor.or.Mu","Bird.nose.wrasse","Black.kole.or.black.surgeonfish","Blackfin.chromis","Blacktailed.snapper","Blue.eyed.damsel","Blue.goatfish","Bluefin.trevally","Blueline.surgeonfish","Bluelined.butterfly","Bluelined.snapper","Bluespine.unicornfish","Box.fish","Bridled.triggerfish","Bullethead.parrotfish","Chocolate.dip.chromis","Chub.or.Rudderfish","Convict.tang","Cornetfish","Doublebar.goatfish","Elegant.wrasse","Eyestripe.surgeon","Forcep.butterfly","forktail.snapper","Forsteri.hawkfish","four.spot.butterfly","Goldrim.surgeonfish","Gray.Chub","Hawaiian.cleaner.wrasse","Hawaiian.dascyllus","Hawaiian.sergeant.major","Kole.tang","Lavender.brown.tang","Lei.trigger","Lined.butterfly","Manybar.goatfish","Milletseed.butterflyfish","Moorish.Idol","Multiband.butterfly","Niger.trigger","Orangeshoulder.tang","Orangespine.unicornfish","Ornate.butterfly.fish","Ornate.wrasse","Oval.butterfly","Pacific.gregory","Palenose.parrofish","Pinktail.trigger","Porcupinefish","Raccoon.butterflyfish","Redlip.parrotfish","Regal.parrotfish","Ringtail.surgeonfish","Ringtail.wrasse","Rockmover.wrasse","Roi.or.Peacock.grouper","round.scad","Saddle.wrasse","Sailfin.tang","Sidespot.goatfish","Soldier.fish","Spectacled.parrotfish","star.eyed.parrotfish","Surge.wrasse","Teardrop.butterfly","Threadfin.butterflyfish","Trumpetfish","white.freckled.surgeonfish","Whitebar.surgeonfish","whitespot.puffer","Whitespotted.toby","Yellow.tang","yellowfin.goatfish","Yellowstripe.goatfish","Yellowtail.coris"
"12",0.767405634075792,0.327512817647547,"5T1","Pre","2010","Puako","5","T1",0,0,0,0,2,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,4,0,0,0,0,11,10,5,0,5,0,0,0,0,3,2,2,0,0,0,8,2,0,0,3,0,0,2,0,0,0,5,0,2,0,0,0,0,0,0,0,0,2,0,0,27,25,0,3
"13",0.965853247550534,-0.142131937738029,"6T1","Pre","2011","Mahukona","6","T1",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,13,22,1,0,3,0,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0
"14",1.14670626945403,-0.0308978098510642,"7T1","Pre","2011","Mahukona","7","T1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,10,3,0,2,0,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0
"15",-0.562094347918819,-0.398828247372333,"3T1","Pre","2011","Old Kona","3","T1",0,0,0,0,0,0,0,5,1,312,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,22,54,2,0,5,0,0,2,4,5,13,3,0,0,2,5,0,0,0,1,1,0,1,0,0,0,4,2,0,0,0,0,0,0,4,0,0,3,0,0,58,0,0,0
"16",-0.713828941076508,-0.30078015035722,"4T1","Pre","2011","Old Kona","4","T1",3,0,0,0,0,0,0,6,0,290,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,0,0,1,1,0,0,0,0,0,2,0,7,49,75,1,0,2,0,5,0,3,7,5,0,0,0,1,4,4,0,2,1,4,0,0,0,0,0,15,0,0,0,0,0,0,1,3,0,40,59,0,1,73,0,0,0
"17",0.470290321797908,0.407713278431129,"1T1","Pre","2011","Puako","1","T1",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,30,0,2,0,0,0,0,3,0,0,0,0,0,0,0,1,34,7,2,0,0,0,0,2,8,0,0,0,0,2,1,0,6,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,1
"18",0.0148773753405965,0.470498537216054,"2T1","Pre","2011","Puako","2","T1",0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,20,64,2,3,0,4,0,1,4,3,9,2,0,0,0,2,6,2,1,0,2,1,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,1
"19",0.898743004343919,-0.391931010806567,"5T1","Pre","2011","Puako","5","T1",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,27,7,0,3,0,3,0,0,8,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0,21,0,23,2
"20",0.639448150307292,-0.791545863476512,"6T1","Pre","2012","Mahukona","6","T1",0,2,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,12,0,0,6,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,10,3,0,2,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0
"21",0.0562165063989514,-0.758631444781835,"7T1","Pre","2012","Mahukona","7","T1",0,0,1,1,0,0,0,1,0,85,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,24,15,3,0,2,0,0,2,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,3,0,0,0,0,0,4,0,0,0,0,8,0,0,8,0,1,0
"22",-0.419821056365854,-0.144699183132685,"3T1","Pre","2012","Old Kona","3","T1",0,0,9,0,0,0,0,3,0,175,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,14,45,60,0,0,3,0,2,2,7,5,5,4,0,0,3,0,1,0,2,0,0,0,0,0,3,0,3,0,0,0,0,0,10,0,0,0,0,4,0,0,81,0,0,1
