"","NMDS1","NMDS2","PrePost","Location","Site","Date","Achilles.tang","Agile.chromis","Amber.jack","Ambon.toby","Arc.eye.hawk.fish","Barred.filefish","Belted.wrasse","Big.eye.emperor.or.Mu","Bird.nose.wrasse","Black.kole.or.black.surgeonfish","black.spot.surgeon..Thompson.s.surgeonfish","Blackfin.chromis","Blackspot.sergeant","Blacktailed.snapper","Blue.eyed.damsel","Blue.goatfish","Bluefin.trevally","Blueline.surgeonfish","Bluelined.butterfly","Bluelined.snapper","Bluespine.unicornfish","Box.fish","Bridled.triggerfish","Bullethead.parrotfish","Chocolate.dip.chromis","Chub.or.Rudderfish","Convict.tang","Cornetfish","Crown.toby","Doublebar.goatfish","eagle.ray","Eightline.wrasse","Elegant.wrasse","Eyestripe.surgeon","Fantailed.filefish","Flame.angel","Flame.wrasse","Forcep.butterfly","forktail.snapper","Forsteri.hawkfish","four.spot.butterfly","Goldline.squirrelfish","Goldrim.surgeonfish","Gray.Chub","Hawaiian.cleaner.wrasse","Hawaiian.dascyllus","Hawaiian.hogfish","Hawaiian.sergeant.major","Kole.tang","Kuntee.Squirrelfish","Lavender.brown.tang","Lei.trigger","Lined.butterfly","Lizardfish","Manybar.goatfish","Milletseed.butterflyfish","Moorish.Idol","Multiband.butterfly","Niger.trigger","Orangeshoulder.tang","Orangespine.unicornfish","Ornate.butterfly.fish","Ornate.wrasse","Oval.butterfly","oval.damesel","Pacific.gregory","Palenose.parrofish","Picasso.or.lagoon.trigger","Pinktail.trigger","Porcupinefish","Potter.s.Angel","Raccoon.butterflyfish","Rainbow.Runner","Rectangle.or.reef.trigger","Red.goat..yellow.fin.goatfish.","Redlip.parrotfish","Regal.parrotfish","Reticulated.butterflyfish","Ringtail.surgeonfish","Ringtail.wrasse","Rockmover.wrasse","Roi.or.Peacock.grouper","round.scad","Saddle.wrasse","saddleback.butterfly","Sailfin.tang","Scrawled.filefish","Sidespot.goatfish","Sleek.unicorn.fish","Soldier.fish","Spectacled.parrotfish","Spiny.balloonfish","Spot.fin.squirrelfish","Spotted.puffer","Squirrelfish","star.eyed.parrotfish","Surge.wrasse","Teardrop.butterfly","Threadfin.butterflyfish","Three.spot.chromis","tilefish","Trumpetfish","Vanishing.wrasse","white.freckled.surgeonfish","White.tipped.reef.shark","Whitebar.surgeonfish","Whitemouth.moray","whitespot.puffer","Whitespotted.toby","Yellow.tang","yellowfin.goatfish","yellowfin.surgeon","Yellowstripe.goatfish","Yellowtail.coris","Yellowtail.Filefish"
"11",-1.16485641440832,-0.0466419899785269,"Pre","Mahukona","7","2011",0,0,0,0,0.25,0.25,0.25,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.25,0,0,0,0,0,0,0,0,10,0,9,3.75,0,0,3,0,0,3.25,0,2,0.5,2.25,0,1.5,0,0.5,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0.75,0,0,0,0,0,0,0,0,0,0,11.25,0,0,1.25,0,0
"12",-0.3496389361184,-0.886331754066526,"Pre","Mahukona","7","2012",0,0,2.5,0,1.25,0,0,0,0.25,0,0,59.25,0,0,0,0,0,0,0,0,0.25,0.25,2.25,0.75,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,13,0,9.25,1.5,0,0,4,0,0,2.25,0,1,2.25,0,0,1,0,0.25,0,0,1.5,0,0,1.5,0,0,0,0,0,0,0,0.5,0,0,7.5,3.25,0,0,0,0.25,0,0,0,0,0,0,0,0,2.75,0.25,0,0,0,0,0,0,0,2.25,0,0,0,9.5,0,0,0.25,0,0
"13",-0.735103181898686,-0.235965024007543,"Post","Mahukona","7","2013",0,0,0,0,0,1,1,0,1,0,0,1.66666666666667,0,0,0,1.33333333333333,0,0,0,0,0,0,0,1.66666666666667,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0,0,0,0,0,0,0,0,14.6666666666667,0,25.3333333333333,6,0,0,5.66666666666667,0,0,4,0,5.66666666666667,3.66666666666667,3,0.333333333333333,0,0,0.333333333333333,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0,3.33333333333333,0,0,0,0,0,0,1,6.66666666666667,0,0,0,1.33333333333333,0,0,0,0,0,0,0,0.666666666666667,0,0,1.33333333333333,0,0,0,0,0,0,0,0,0,0,12.6666666666667,0,0,24.6666666666667,0.333333333333333,0
"14",-0.522361523169914,-0.0155367944067069,"Post","Mahukona","7","2014",0.5,0,0,0.5,0.5,0.5,1,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1.5,0,0,1,0,0,0,0,0,0,0,62.5,0,20.5,3,0,0,7,1,0,3,0,2.5,3,2,0.5,3.5,0,2.5,1.5,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0.5,0,2,0,0,0,0,0,0,0,1,0,0.5,1,0,0,0.5,0,0,0,0,0,0,0,18.5,0,0,2,0,0
"15",0.262365098590236,-0.314634346653116,"Post","Mahukona","7","2016",0,2,0,0,0,0,1,0,0,0,0,152,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,65,0,49,3,0,0,7,0,0,3,1,7,5,4,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,2,2,0
"16",-0.373162220091067,-0.0822770203031474,"Post","Mahukona","7","2017",0,0.5,0,0,0.25,0,0,0.25,0.75,2,0,6.25,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,2,0,0,0.25,0,0,0,0.75,0,0,0,1.25,0,0.25,0.5,0,0,0,0,2,0,0,29.25,0,31.5,4.75,0,0,4.25,0,0.25,4.25,2.25,3.5,7,1.5,0,0.75,0,0.75,0.75,0,3.25,0,0,0,0,0,0,1.25,0,0,0,0,0,0,0,3,0,0,0,1.25,0,0,0,0,0,0,0,0.25,0,0,1.5,0,0,0,0,0,0,0,0,0.5,0,32.75,0,0,23,1.75,0.25
"17",-0.0134026896692575,-0.321543242616037,"Post","Mahukona","7","2018",0,0,0,0,0.25,0.25,0,0.5,0.75,0,0,83.75,0,0,0,2.75,0,0,1.75,0,0,0,0,1.25,3.25,0,0,0.25,0,0,0,0,0.75,0,0.25,0,0,0.5,0.25,0,0.75,0,0,0,0,0,0,2.25,31,0,40.25,4.75,0.25,0,9,0,0.25,7.25,4,2.5,3.75,2.25,0,1,0,1,1.75,0,1.75,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,7.5,0,0,0,4.5,0,0,0,0,0,0,0,0.5,0,0.25,0.5,0,0,0,0,0,0,0,0,0,0,23,0,0,0.25,0.75,0
"18",-0.162483742056292,-0.305974837691243,"Post","Mahukona","7","2019",0,0.5,0,0,0.5,0.5,0,1.5,0,0,0,22,0,0,0,0,0,0,1.25,0,0,0.25,0,0.75,4.25,0,1.25,0.5,0,0.25,0,0,0,0.5,0.5,0,0,2.75,0,0,0.25,0,0,0,0,0,0,0,33,0,79,6.5,0.5,0.25,9.75,0,0.5,7.5,2.25,7.5,5.5,2.5,0,1.5,0,1,0.5,0,1.25,0.25,0,0,0,0,0,1.25,0,0,2,0,0,0,0,6,0.25,0,0,2.75,0,0,0,0,0,0,0,0.25,0,0,0.5,0,0,0.25,0,0,0,0,0,0,0,23.5,0,0,45.5,1.5,0
"19",0.514502931170808,-0.52494730014884,"Pre","Old Kona","3","2009",0,0,0,0,0.5,0,0,0,4.75,0,0,301,0,0,0,0.25,0,0,0,0,0,0.25,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2.75,0,0,0.75,0,0,0,0.75,0,0,0,16,0,41,1.25,0,0,1.25,0,2,1.5,2.25,6.25,3.75,2,0.25,0,0,0,11.25,0,0.75,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0.75,0,0,0.25,42.25,0,0,0,1,0
"20",0.738803807370135,-0.443253976315508,"Pre","Old Kona","3","2010",0,0,0,0,0.25,0,0,0,2.25,0,0,453.5,0,0,0,0.25,0,0,0,0,0,0.25,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0.25,34.5,0,49.75,1,0.25,0,3.25,0.25,2,2.5,4.25,3.75,4.75,2,0,0,0,1,16.75,0.25,0.25,0,0,0.25,0,0,0,0.75,0.25,0,0,0.25,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,8,0,0.75,0,0,0,0,0,0,2,0,0,0.5,63.25,0,0,0,1.25,0
